date,revenue,region,product
2024-10-01,15000,North,Widget A
2024-10-02,18500,South,Widget B
2024-10-03,12300,East,Widget A
2024-10-04,22000,West,Widget C
2024-10-05,19800,North,Widget B
2024-10-06,16700,South,Widget A
2024-10-07,21500,East,Widget C
2024-10-08,14200,West,Widget B
2024-10-09,25000,North,Widget A
2024-10-10,17800,South,Widget C
2024-11-01,16500,North,Widget A
2024-11-02,19200,South,Widget B
2024-11-03,13800,East,Widget A
2024-11-04,23500,West,Widget C
2024-11-05,20100,North,Widget B
2024-11-06,17900,South,Widget A
2024-11-07,22800,East,Widget C
2024-11-08,15600,West,Widget B
2024-11-09,26500,North,Widget A
2024-11-10,18900,South,Widget C
2024-12-01,18000,North,Widget A
2024-12-02,21500,South,Widget B
2024-12-03,15200,East,Widget A
2024-12-04,25000,West,Widget C
2024-12-05,22500,North,Widget B
2024-12-06,19800,South,Widget A
2024-12-07,24200,East,Widget C
2024-12-08,17100,West,Widget B
2024-12-09,28000,North,Widget A
2024-12-10,20500,South,Widget C
