date,revenue,region,product
2024-07-01,12000,North,Widget A
2024-07-02,15500,South,Widget B
2024-07-03,10300,East,Widget A
2024-07-04,18000,West,Widget C
2024-07-05,16800,North,Widget B
2024-07-06,13700,South,Widget A
2024-07-07,17500,East,Widget C
2024-07-08,11200,West,Widget B
2024-07-09,21000,North,Widget A
2024-07-10,14800,South,Widget C
2024-08-01,13500,North,Widget A
2024-08-02,16200,South,Widget B
2024-08-03,11800,East,Widget A
2024-08-04,19500,West,Widget C
2024-08-05,17100,North,Widget B
2024-08-06,14900,South,Widget A
2024-08-07,18800,East,Widget C
2024-08-08,12600,West,Widget B
2024-08-09,22500,North,Widget A
2024-08-10,15900,South,Widget C
2024-09-01,14000,North,Widget A
2024-09-02,17500,South,Widget B
2024-09-03,12200,East,Widget A
2024-09-04,20000,West,Widget C
2024-09-05,18500,North,Widget B
2024-09-06,15800,South,Widget A
2024-09-07,19200,East,Widget C
2024-09-08,13100,West,Widget B
2024-09-09,24000,North,Widget A
2024-09-10,16500,South,Widget C
